*******************************************************************************************************
*     CCS-FEC-VME
*     ManufacturerID: 080030 (CERN)
*     BoardID:        000133 (307)
*******************************************************************************************************   
*     key              space  map  address      mask    read write description
RET_FIFO_8_W_BL        memory  1  00000024    ffffffff    0    1
REC_FIFO_8_W_BL        memory  1  00000028    ffffffff    0    1
*
CONTROL0_7             memory  0  00000040    ffffffff    1    1
CONTROL1_7             memory  0  00000044    ffffffff    1    1
STATUS0_7              memory  0  00000048    ffffffff    1    0
STATUS1_7              memory  0  0000004C    ffffffff    1    0
VERSION_SRC_7          memory  0  00000050    ffffffff    1    0
TRA_FIFO_7_R           memory  0  00000060    ffffffff    1    0
RET_FIFO_7_R           memory  0  00000064    ffffffff    1    0
REC_FIFO_7_R           memory  0  00000068    ffffffff    1    0
TRA_FIFO_7_W           memory  0  00000060    ffffffff    0    1
RET_FIFO_7_W           memory  0  00000064    ffffffff    0    1
REC_FIFO_7_W           memory  0  00000068    ffffffff    0    1
TRA_FIFO_7_R_BL        memory  1  00000060    ffffffff    1    0
RET_FIFO_7_R_BL        memory  1  00000064    ffffffff    1    0
REC_FIFO_7_R_BL        memory  1  00000068    ffffffff    1    0
TRA_FIFO_7_W_BL        memory  1  00000060    ffffffff    0    1
RET_FIFO_7_W_BL        memory  1  00000064    ffffffff    0    1
REC_FIFO_7_W_BL        memory  1  00000068    ffffffff    0    1
*
CONTROL0_6             memory  0  00000080    ffffffff    1    1
CONTROL1_6             memory  0  00000084    ffffffff    1    1
STATUS0_6              memory  0  00000088    ffffffff    1    0
STATUS1_6              memory  0  0000008C    ffffffff    1    0
VERSION_SRC_6          memory  0  00000090    ffffffff    1    0
TRA_FIFO_6_R           memory  0  000000a0    ffffffff    1    0
RET_FIFO_6_R           memory  0  000000a4    ffffffff    1    0
REC_FIFO_6_R           memory  0  000000a8    ffffffff    1    0
TRA_FIFO_6_W           memory  0  000000a0    ffffffff    0    1
RET_FIFO_6_W           memory  0  000000a4    ffffffff    0    1
REC_FIFO_6_W           memory  0  000000a8    ffffffff    0    1
TRA_FIFO_6_R_BL        memory  1  000000a0    ffffffff    1    0
RET_FIFO_6_R_BL        memory  1  000000a4    ffffffff    1    0
REC_FIFO_6_R_BL        memory  1  000000a8    ffffffff    1    0
TRA_FIFO_6_W_BL        memory  1  000000a0    ffffffff    0    1
RET_FIFO_6_W_BL        memory  1  000000a4    ffffffff    0    1
REC_FIFO_6_W_BL        memory  1  000000a8    ffffffff    0    1
*
CONTROL0_5             memory  0  000000c0    ffffffff    1    1
CONTROL1_5             memory  0  000000c4    ffffffff    1    1
STATUS0_5              memory  0  000000c8    ffffffff    1    0
STATUS1_5              memory  0  000000cC    ffffffff    1    0
VERSION_SRC_5          memory  0  000000d0    ffffffff    1    0
TRA_FIFO_5_R           memory  0  000000e0    ffffffff    1    0
RET_FIFO_5_R           memory  0  000000e4    ffffffff    1    0
REC_FIFO_5_R           memory  0  000000e8    ffffffff    1    0
TRA_FIFO_5_W           memory  0  000000e0    ffffffff    0    1
RET_FIFO_5_W           memory  0  000000e4    ffffffff    0    1
REC_FIFO_5_W           memory  0  000000e8    ffffffff    0    1
TRA_FIFO_5_R_BL        memory  1  000000e0    ffffffff    1    0
RET_FIFO_5_R_BL        memory  1  000000e4    ffffffff    1    0
REC_FIFO_5_R_BL        memory  1  000000e8    ffffffff    1    0
TRA_FIFO_5_W_BL        memory  1  000000e0    ffffffff    0    1
RET_FIFO_5_W_BL        memory  1  000000e4    ffffffff    0    1
REC_FIFO_5_W_BL        memory  1  000000e8    ffffffff    0    1
*
CONTROL0_4             memory  0  00000100    ffffffff    1    1
CONTROL1_4             memory  0  00000104    ffffffff    1    1
STATUS0_4              memory  0  00000108    ffffffff    1    0
STATUS1_4              memory  0  0000010C    ffffffff    1    0
VERSION_SRC_4          memory  0  00000110    ffffffff    1    0
TRA_FIFO_4_R           memory  0  00000120    ffffffff    1    0
RET_FIFO_4_R           memory  0  00000124    ffffffff    1    0
REC_FIFO_4_R           memory  0  00000128    ffffffff    1    0
TRA_FIFO_4_W           memory  0  00000120    ffffffff    0    1
RET_FIFO_4_W           memory  0  00000124    ffffffff    0    1
REC_FIFO_4_W           memory  0  00000128    ffffffff    0    1
TRA_FIFO_4_R_BL        memory  1  00000120    ffffffff    1    0
RET_FIFO_4_R_BL        memory  1  00000124    ffffffff    1    0
REC_FIFO_4_R_BL        memory  1  00000128    ffffffff    1    0
TRA_FIFO_4_W_BL        memory  1  00000120    ffffffff    0    1
RET_FIFO_4_W_BL        memory  1  00000124    ffffffff    0    1
REC_FIFO_4_W_BL        memory  1  00000128    ffffffff    0    1
*
CONTROL0_3             memory  0  00000140    ffffffff    1    1
CONTROL1_3             memory  0  00000144    ffffffff    1    1
STATUS0_3              memory  0  00000148    ffffffff    1    0
STATUS1_3              memory  0  0000014C    ffffffff    1    0
VERSION_SRC_3          memory  0  00000150    ffffffff    1    0
TRA_FIFO_3_R           memory  0  00000160    ffffffff    1    0
RET_FIFO_3_R           memory  0  00000164    ffffffff    1    0
REC_FIFO_3_R           memory  0  00000168    ffffffff    1    0
TRA_FIFO_3_W           memory  0  00000160    ffffffff    0    1
RET_FIFO_3_W           memory  0  00000164    ffffffff    0    1
REC_FIFO_3_W           memory  0  00000168    ffffffff    0    1
TRA_FIFO_3_R_BL        memory  1  00000160    ffffffff    1    0
RET_FIFO_3_R_BL        memory  1  00000164    ffffffff    1    0
REC_FIFO_3_R_BL        memory  1  00000168    ffffffff    1    0
TRA_FIFO_3_W_BL        memory  1  00000160    ffffffff    0    1
RET_FIFO_3_W_BL        memory  1  00000164    ffffffff    0    1
REC_FIFO_3_W_BL        memory  1  00000168    ffffffff    0    1
*
CONTROL0_2             memory  0  00000180    ffffffff    1    1
CONTROL1_2             memory  0  00000184    ffffffff    1    1
STATUS0_2              memory  0  00000188    ffffffff    1    0
STATUS1_2              memory  0  0000018C    ffffffff    1    0
VERSION_SRC_2          memory  0  00000190    ffffffff    1    0
TRA_FIFO_2_R           memory  0  000001a0    ffffffff    1    0
RET_FIFO_2_R           memory  0  000001a4    ffffffff    1    0
REC_FIFO_2_R           memory  0  000001a8    ffffffff    1    0
TRA_FIFO_2_W           memory  0  000001a0    ffffffff    0    1
RET_FIFO_2_W           memory  0  000001a4    ffffffff    0    1
REC_FIFO_2_W           memory  0  000001a8    ffffffff    0    1
TRA_FIFO_2_R_BL        memory  1  000001a0    ffffffff    1    0
RET_FIFO_2_R_BL        memory  1  000001a4    ffffffff    1    0
REC_FIFO_2_R_BL        memory  1  000001a8    ffffffff    1    0
TRA_FIFO_2_W_BL        memory  1  000001a0    ffffffff    0    1
RET_FIFO_2_W_BL        memory  1  000001a4    ffffffff    0    1
REC_FIFO_2_W_BL        memory  1  000001a8    ffffffff    0    1
*
CONTROL0_1             memory  0  000001c0    ffffffff    1    1
CONTROL1_1             memory  0  000001c4    ffffffff    1    1
STATUS0_1              memory  0  000001c8    ffffffff    1    0
STATUS1_1              memory  0  000001cC    ffffffff    1    0
